Yr.Dec,Supercolony,Sanctuary,n.Aggregations,Area.ha,Date.min,Date.max
1976,Chincua,Chincua,1,1.5,1/27/1977,1/27/1977
1977,Cerro Pelon W,Pelon,1,1.47,1/31/1978,1/31/1978
1977,Chincua,Chincua,2,3.38,2/2/1978,2/16/1978
1977,Contepec,Altamirano,1,0.69,11/27/1977,11/27/1977
1977,San Mateo Almomoloa,Herrada,1,0.25,1/24/1978,1/24/1978
1978,Chincua,Chincua,2,4.78,12/6/1978,12/13/1978
1978,Contepec,Altamirano,1,0.19,12/14/1978,12/14/1978
1979,Chincua,Chincua,4,1.32,1/6/1980,1/18/1980
1979,San Andres, Los Azufres,1,0.19,12/3/1979,12/3/1979
1980,Chincua,Chincua,2,3.16,1/8/1981,1/11/1981
1981,Carpinteros,Chivati,1,0.2,3/7/1982,3/7/1982
1981,Chincua,Chincua,1,1.47,2/8/1982,2/8/1982
1981,La Mesa,Campanario,1,2.03,3/6/1982,3/6/1982
1981,Rosario,Campanario,1,3.34,3/6/1982,3/6/1982
1984,Carpinteros,Cerros Chivati-Huacal,1,0.4,1/5/1985,1/5/1985
1984,Cerro Pelon W,Cerro Pelón,1,0.56,1/31/1985,1/31/1985
1984,Chincua,Sierra Chincua,1,0.51,1/9/1985,1/9/1985
1984,Rosario,Sierra Campanario,1,1.67,1/25/1985,1/25/1985
1985,Carpinteros,Cerros Chivati-Huacal,1,0.18,1/3/1986,1/3/1986
1985,Cerro Pelon W,Cerro Pelón,1,2.36,12/5/1985,12/5/1985
1985,Chincua,Sierra Chincua,2,2.69,12/6/1985,12/6/1985
1985,Contepec,Cerro Altamirano,1,0.01,2/2/1986,2/2/1986
1985,Rosario,Sierra Campanario,1,3.18,12/13/1985,12/13/1985
1986,Chincua,Sierra Chincua,2,1.2,1/15/1987,2/27/1987
1986,Rosario,Sierra Campanario,1,1.15,1/14/1987,1/14/1987
1987,Cerro Pelon W,Cerro Pelón,2,2.68,12/21/1987,12/21/1987
1987,Chincua,Sierra Chincua,2,1.45,12/10/1987,3/11/1988
1987,Rosario,Sierra Campanario,1,1.53,12/16/1987,12/16/1987
1988,Chincua,Sierra Chincua,3,8.46,12/18/1988,3/30/1989
1988,Rosario,Sierra Campanario,2,5.69,12/22/1988,2/24/1989
1989,Cerro Pelon W,Cerro Pelón,1,0.33,12/28/1989,12/28/1989
1989,Chincua,Sierra Chincua,1,3.46,12/13/1989,12/13/1989
1989,Rosario,Sierra Campanario,4,5.73,12/11/1989,12/12/1989
1990,Cerro Pelon W,Cerro Pelón,2,1.5,12/29/1990,1/28/1991
1990,Chincua,Sierra Chincua,2,10.34,12/21/1990,2/25/1991
1990,Contepec,Cerro Altamirano,1,0.3,2/20/1991,2/20/1991
1990,Rosario,Sierra Campanario,4,6.22,12/19/1990,1/27/1991
