Supercolony,Yr.Dec,Area.ha
Cerro Pelon E,2004,0
Cerro Pelon E,2005,0
Cerro Pelon E,2006,0
Cerro Pelon E,2007,0.38
Cerro Pelon E,2008,0
Cerro Pelon E,2009,0
Cerro Pelon E,2010,0
Cerro Pelon E,2011,0
Cerro Pelon E,2012,0.06
Cerro Pelon E,2013,0.04
Cerro Pelon E,2014,0.06
Cerro Pelon E,2015,0.8
Cerro Pelon E,2016,0.04
Cerro Pelon E,2017,0.51
Cerro Pelon E,2018,0.07
Cerro Pelon W,2004,0.24
Cerro Pelon W,2005,2
Cerro Pelon W,2006,0.98
Cerro Pelon W,2007,0.68
Cerro Pelon W,2008,0.38
Cerro Pelon W,2009,0.53
Cerro Pelon W,2010,0.56
Cerro Pelon W,2011,0.53
Cerro Pelon W,2012,0.03
Cerro Pelon W,2013,0.03
Cerro Pelon W,2014,0.18
Cerro Pelon W,2015,0.13
Cerro Pelon W,2016,0.28
Cerro Pelon W,2017,0.23
Cerro Pelon W,2018,1.67
E Contepec,2004,0
E Contepec,2005,0
E Contepec,2006,0.09
E Contepec,2007,0
E Contepec,2008,0.01
E Contepec,2009,0
E Contepec,2010,0
E Contepec,2011,0
E Contepec,2012,0
E Contepec,2013,0
E Contepec,2014,0
E Contepec,2015,0
E Contepec,2016,0
E Contepec,2017,0
E Contepec,2018,0.01
E El Rosario,2004,1.06
E El Rosario,2005,1.23
E El Rosario,2006,2.49
E El Rosario,2007,1.48
E El Rosario,2008,2.37
E El Rosario,2009,0.5
E El Rosario,2010,1.74
E El Rosario,2011,1.37
E El Rosario,2012,0.63
E El Rosario,2013,0.52
E El Rosario,2014,0.57
E El Rosario,2015,1.09
E El Rosario,2016,1.17
E El Rosario,2017,0.6
E El Rosario,2018,2.46
E La Mesa,2004,0
E La Mesa,2005,0.22
E La Mesa,2006,0.61
E La Mesa,2007,0.33
E La Mesa,2008,0
E La Mesa,2009,0
E La Mesa,2010,0
E La Mesa,2011,0
E La Mesa,2012,0.03
E La Mesa,2013,0
E La Mesa,2014,0.01
E La Mesa,2015,0
E La Mesa,2016,0.06
E La Mesa,2017,0.04
E La Mesa,2018,0.12
IC Carpinteros,2004,0
IC Carpinteros,2005,0.1
IC Carpinteros,2006,0.39
IC Carpinteros,2007,0.06
IC Carpinteros,2008,0.17
IC Carpinteros,2009,0.29
IC Carpinteros,2010,0.35
IC Carpinteros,2011,0.2
IC Carpinteros,2012,0
IC Carpinteros,2013,0.01
IC Carpinteros,2014,0
IC Carpinteros,2015,0
IC Carpinteros,2016,0.06
IC Carpinteros,2017,0
IC Carpinteros,2018,0.07
IC Crescencio Morales,2004,0.1
IC Crescencio Morales,2005,0.46
IC Crescencio Morales,2006,0.16
IC Crescencio Morales,2007,0
IC Crescencio Morales,2008,0
IC Crescencio Morales,2009,0
IC Crescencio Morales,2010,0
IC Crescencio Morales,2011,0
IC Crescencio Morales,2012,0
IC Crescencio Morales,2013,0
IC Crescencio Morales,2014,0
IC Crescencio Morales,2015,0
IC Crescencio Morales,2016,0
IC Crescencio Morales,2017,0
